Objective,Name,Country,Longitude,Latitude,Elevation,Year,N_plots,Species,Structure,Age,Data,Organisation,Website,Responsible,Mail,References
"Research of the dynamics of a structure and growth of mixed uneven-aged forests of beech, fir and spruce in which selective fellings are applied",Bosnia01,Bosnia and Herzegovina,18.22317729801421,43.736433066764974,1350,1954-1957,8,Fagus sylvatica; Abies alba; Picea abies,uneven-aged,NA,dbh; height; tree coordinates,"<a href='http://www.sfsa.unsa.ba' target='_blank'>Faculty of Forestry, University of Sarajevo</a>",http://www.sfsa.unsa.ba,AI Spahic; Admir Avdagic,a.ibrahimspahic@sfsa.unsa.ba;  a.avdagic@sfsa.unsa.ba,NA
"Research of the dynamics of a structure and growth of mixed uneven-aged forests of beech, fir and spruce in which selective fellings are applied",Bosnia02,Bosnia and Herzegovina,18.301958148384124,43.773444999361146,1350,1954-1957,8,Fagus sylvatica; Abies alba; Picea abies,uneven-aged,NA,dbh; height; tree coordinates,"<a href='http://www.sfsa.unsa.ba' target='_blank'>Faculty of Forestry, University of Sarajevo</a>",http://www.sfsa.unsa.ba,AI Spahic; Admir Avdagic,a.ibrahimspahic@sfsa.unsa.ba; a.avdagic@sfsa.unsa.ba,NA
Assess the growth of mixed A. alba - P. abies - F. sylvatica forests,A. alba P. abies F. sylvatica,Bulgaria,24.175,41.93333333333333,1400,1985 - 1995,3,Abies alba; Picea abies; Fagus sylvatica,even-aged,120,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Assess the growth of P.abies forests,P. abies Western Rhodopes,Bulgaria,24.233333333333334,41.78333333333333,1500,1980 - 1990,8,Picea abies,even-aged,115,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Assess the growth of A. alba forests,A. alba Western Rhodopes,Bulgaria,24.166666666666668,41.78333333333333,1150,1950 - 1995,4,Abies alba,even-aged,105,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Assess the growth of F. sylvatica seed originated forests,F. Silvatica Eastern Rhodopes,Bulgaria,25.066666666666666,41.416666666666664,1150,1985 - 1995,4,Fagus sylvatica,even-aged,105,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Assess the growth of F. sylvatica seed originated forests,F. Silvatica Western Balkans,Bulgaria,23.383333333333333,43.083333333333336,1050,1985 - 1990,5,Fagus sylvatica,even-aged,115,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Assess the growth of F. sylvatica seed originated forests,F. Silvatica Easrtern Balkans,Bulgaria,25.766666666666666,42.791666666666664,850,1990 - 1995,4,Fagus sylvatica,even-aged,105,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Assess the growth of mixed coppice Q. cerris - Q. frainetto - Q. petraea forests,Q.cerris Q.petraea Q.frainetto,Bulgaria,24.166666666666668,42.583333333333336,750,1990 - 1995,6,Quercus cerris; Quercus frainetto; Quercus petraea,even-aged,60,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Assess the growth of Q. cerris forests,Q. cerris Ludogorie,Bulgaria,26.8,43.65,225,1990 - 1995,4,Quercus cerris,even-aged,55,diameter growth; mortality; height,<a href='http://www.iber.bas.bg' target='_blank'>Institute of Biodiversity and Ecosystem Research</a>,http://www.iber.bas.bg,Tzvetan M. Zlatanov,tmzlatanov@gmail.com,NA
Long term research of fluxes of matter and energy between ecosystem and atmosphereusing eddy-covariance. Site proposed as ICOS Site Class II. Influence of elevated CO2 air concentration on forest stand.,CZ-BKF,Czech Republic,18.5368725,49.502097222222226,875,1986,2,Picea abies,even-aged,36,diameter growth; LAI during growing season; meteo and soil meteo paramaters; fluxes of CO2 and water vapour (eddy covariance),<a href='http://www.czechglobe.cz/en/' target='_blank'>Global Change Research Institute of the Czech Academy of Sciences (GCRI)</a>,http://www.czechglobe.cz/en/,Marian Pavelka,pavelka.m@czechglobe.cz,"Marek MV, Janouš D, Taufarová K, Havránková K, Pavelka M, Kaplan V, Marková I (2011) Carbon exchange between ecosystems and atmosphere in the Czech Republic is affected by climate factors. Environmental Pollution, 159(5), 1035-1039."
Long term research of fluxes of matter and energy between beech forest ecosystem and atmosphereusing eddy-covariance. Part of CzeCOS net of ecosystem stations (http://www.czecos.cz/en/project-structure/segment-4-observatory-facilities.html),CZ-STI,Czech Republic,17.96988888888889,49.035975,550,2010,1,Fagus sylvatica,even-aged,114,diameter growth; LAI during growing season; meteo and soil meteo paramaters; fluxes of CO2 and water vapour (eddy covariance),<a href='http://www.czechglobe.cz/en/' target='_blank'>Global Change Research Institute of the Czech Academy of Sciences (GCRI)</a>,http://www.czechglobe.cz/en/,Marian Pavelka,pavelka.m@czechglobe.cz,"Marek MV, Janouš D, Taufarová K, Havránková K, Pavelka M, Kaplan V, Marková I (2011) Carbon exchange between ecosystems and atmosphere in the Czech Republic is affected by climate factors. Environmental Pollution, 159(5), 1035-1039."
Growth of selection forests in dependence of standing volume,FRY 129,Germany,13.587016666666667,48.85384166666667,735,1980,6,Picea abies; Abies alba; Fagus sylvatica,uneven-aged,NA,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,NA
Growth of selection forests in dependence of standing volume,BOM 130,Germany,13.091197222222222,49.097030555555556,930,1980,4,Picea abies; Abies alba; Fagus sylvatica,uneven-aged,NA,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,NA
